step:310/1190 train_time:13360ms step_avg:43.10ms
step:311/1190 train_time:13408ms step_avg:43.11ms
step:312/1190 train_time:13466ms step_avg:43.16ms
step:313/1190 train_time:13513ms step_avg:43.17ms
step:314/1190 train_time:13570ms step_avg:43.22ms
step:315/1190 train_time:13617ms step_avg:43.23ms
step:316/1190 train_time:13675ms step_avg:43.27ms
step:317/1190 train_time:13723ms step_avg:43.29ms
step:318/1190 train_time:13779ms step_avg:43.33ms
step:319/1190 train_time:13827ms step_avg:43.35ms
step:320/1190 train_time:13885ms step_avg:43.39ms
step:321/1190 train_time:13932ms step_avg:43.40ms
step:322/1190 train_time:13989ms step_avg:43.45ms
step:323/1190 train_time:14037ms step_avg:43.46ms
step:324/1190 train_time:14095ms step_avg:43.50ms
step:325/1190 train_time:14142ms step_avg:43.51ms
step:326/1190 train_time:14200ms step_avg:43.56ms
step:327/1190 train_time:14247ms step_avg:43.57ms
step:328/1190 train_time:14305ms step_avg:43.61ms
step:329/1190 train_time:14352ms step_avg:43.62ms
step:330/1190 train_time:14409ms step_avg:43.66ms
step:331/1190 train_time:14457ms step_avg:43.68ms
step:332/1190 train_time:14516ms step_avg:43.72ms
step:333/1190 train_time:14562ms step_avg:43.73ms
step:334/1190 train_time:14621ms step_avg:43.78ms
step:335/1190 train_time:14668ms step_avg:43.78ms
step:336/1190 train_time:14726ms step_avg:43.83ms
step:337/1190 train_time:14774ms step_avg:43.84ms
step:338/1190 train_time:14897ms step_avg:44.07ms
step:339/1190 train_time:14948ms step_avg:44.09ms
step:340/1190 train_time:14996ms step_avg:44.11ms
step:341/1190 train_time:15042ms step_avg:44.11ms
step:342/1190 train_time:15099ms step_avg:44.15ms
step:343/1190 train_time:15146ms step_avg:44.16ms
step:344/1190 train_time:15203ms step_avg:44.20ms
step:345/1190 train_time:15251ms step_avg:44.20ms
step:346/1190 train_time:15308ms step_avg:44.24ms
step:347/1190 train_time:15356ms step_avg:44.25ms
step:348/1190 train_time:15413ms step_avg:44.29ms
step:349/1190 train_time:15460ms step_avg:44.30ms
step:350/1190 train_time:15518ms step_avg:44.34ms
step:351/1190 train_time:15565ms step_avg:44.34ms
step:352/1190 train_time:15622ms step_avg:44.38ms
step:353/1190 train_time:15669ms step_avg:44.39ms
step:354/1190 train_time:15727ms step_avg:44.43ms
step:355/1190 train_time:15774ms step_avg:44.43ms
step:356/1190 train_time:15832ms step_avg:44.47ms
step:357/1190 train_time:15880ms step_avg:44.48ms
step:358/1190 train_time:15937ms step_avg:44.52ms
step:359/1190 train_time:15985ms step_avg:44.53ms
step:360/1190 train_time:16042ms step_avg:44.56ms
step:361/1190 train_time:16090ms step_avg:44.57ms
step:362/1190 train_time:16147ms step_avg:44.61ms
step:363/1190 train_time:16195ms step_avg:44.61ms
step:364/1190 train_time:16254ms step_avg:44.65ms
step:365/1190 train_time:16300ms step_avg:44.66ms
step:366/1190 train_time:16358ms step_avg:44.69ms
step:367/1190 train_time:16405ms step_avg:44.70ms
step:368/1190 train_time:16463ms step_avg:44.74ms
step:369/1190 train_time:16510ms step_avg:44.74ms
step:370/1190 train_time:16568ms step_avg:44.78ms
step:371/1190 train_time:16618ms step_avg:44.79ms
step:372/1190 train_time:16673ms step_avg:44.82ms
step:373/1190 train_time:16720ms step_avg:44.83ms
step:374/1190 train_time:16778ms step_avg:44.86ms
step:375/1190 train_time:16825ms step_avg:44.87ms
step:376/1190 train_time:16882ms step_avg:44.90ms
step:377/1190 train_time:16930ms step_avg:44.91ms
step:378/1190 train_time:16988ms step_avg:44.94ms
step:379/1190 train_time:17035ms step_avg:44.95ms
step:380/1190 train_time:17092ms step_avg:44.98ms
step:381/1190 train_time:17141ms step_avg:44.99ms
step:382/1190 train_time:17198ms step_avg:45.02ms
step:383/1190 train_time:17245ms step_avg:45.03ms
step:384/1190 train_time:17303ms step_avg:45.06ms
step:385/1190 train_time:17351ms step_avg:45.07ms
step:386/1190 train_time:17409ms step_avg:45.10ms
step:387/1190 train_time:17456ms step_avg:45.11ms
step:388/1190 train_time:17515ms step_avg:45.14ms
step:389/1190 train_time:17561ms step_avg:45.14ms
step:390/1190 train_time:17619ms step_avg:45.18ms
step:391/1190 train_time:17667ms step_avg:45.18ms
step:392/1190 train_time:17724ms step_avg:45.22ms
step:393/1190 train_time:17772ms step_avg:45.22ms
step:394/1190 train_time:17830ms step_avg:45.25ms
step:395/1190 train_time:17877ms step_avg:45.26ms
step:396/1190 train_time:17935ms step_avg:45.29ms
step:397/1190 train_time:17981ms step_avg:45.29ms
step:398/1190 train_time:18039ms step_avg:45.32ms
step:399/1190 train_time:18086ms step_avg:45.33ms
step:400/1190 train_time:18144ms step_avg:45.36ms
step:401/1190 train_time:18191ms step_avg:45.36ms
step:402/1190 train_time:18249ms step_avg:45.40ms
step:403/1190 train_time:18297ms step_avg:45.40ms
step:404/1190 train_time:18355ms step_avg:45.43ms
step:405/1190 train_time:18402ms step_avg:45.44ms
step:406/1190 train_time:18459ms step_avg:45.47ms
step:407/1190 train_time:18506ms step_avg:45.47ms
step:408/1190 train_time:18564ms step_avg:45.50ms
step:409/1190 train_time:18611ms step_avg:45.50ms
step:410/1190 train_time:18668ms step_avg:45.53ms
step:411/1190 train_time:18716ms step_avg:45.54ms
step:412/1190 train_time:18773ms step_avg:45.56ms
step:413/1190 train_time:18820ms step_avg:45.57ms
step:414/1190 train_time:18877ms step_avg:45.60ms
step:415/1190 train_time:18924ms step_avg:45.60ms
step:416/1190 train_time:18981ms step_avg:45.63ms
step:417/1190 train_time:19029ms step_avg:45.63ms
step:418/1190 train_time:19086ms step_avg:45.66ms
step:419/1190 train_time:19134ms step_avg:45.67ms
step:420/1190 train_time:19193ms step_avg:45.70ms
step:421/1190 train_time:19239ms step_avg:45.70ms
step:422/1190 train_time:19296ms step_avg:45.73ms
step:423/1190 train_time:19343ms step_avg:45.73ms
step:424/1190 train_time:19401ms step_avg:45.76ms
step:425/1190 train_time:19448ms step_avg:45.76ms
step:426/1190 train_time:19506ms step_avg:45.79ms
step:427/1190 train_time:19553ms step_avg:45.79ms
step:428/1190 train_time:19611ms step_avg:45.82ms
step:429/1190 train_time:19659ms step_avg:45.82ms
step:430/1190 train_time:19716ms step_avg:45.85ms
step:431/1190 train_time:19764ms step_avg:45.86ms
step:432/1190 train_time:19821ms step_avg:45.88ms
step:433/1190 train_time:19868ms step_avg:45.88ms
step:434/1190 train_time:19925ms step_avg:45.91ms
step:435/1190 train_time:19972ms step_avg:45.91ms
step:436/1190 train_time:20030ms step_avg:45.94ms
step:437/1190 train_time:20077ms step_avg:45.94ms
step:438/1190 train_time:20134ms step_avg:45.97ms
step:439/1190 train_time:20183ms step_avg:45.97ms
step:440/1190 train_time:20241ms step_avg:46.00ms
step:441/1190 train_time:20287ms step_avg:46.00ms
step:442/1190 train_time:20345ms step_avg:46.03ms
step:443/1190 train_time:20393ms step_avg:46.03ms
step:444/1190 train_time:20451ms step_avg:46.06ms
step:445/1190 train_time:20498ms step_avg:46.06ms
step:446/1190 train_time:20556ms step_avg:46.09ms
step:447/1190 train_time:20602ms step_avg:46.09ms
step:448/1190 train_time:20661ms step_avg:46.12ms
step:449/1190 train_time:20707ms step_avg:46.12ms
step:450/1190 train_time:20765ms step_avg:46.14ms
step:451/1190 train_time:20812ms step_avg:46.15ms
step:452/1190 train_time:20870ms step_avg:46.17ms
step:453/1190 train_time:20917ms step_avg:46.17ms
step:454/1190 train_time:20974ms step_avg:46.20ms
step:455/1190 train_time:21021ms step_avg:46.20ms
step:456/1190 train_time:21079ms step_avg:46.23ms
step:457/1190 train_time:21126ms step_avg:46.23ms
step:458/1190 train_time:21183ms step_avg:46.25ms
step:459/1190 train_time:21230ms step_avg:46.25ms
step:460/1190 train_time:21289ms step_avg:46.28ms
step:461/1190 train_time:21335ms step_avg:46.28ms
step:462/1190 train_time:21393ms step_avg:46.31ms
step:463/1190 train_time:21440ms step_avg:46.31ms
step:464/1190 train_time:21498ms step_avg:46.33ms
step:465/1190 train_time:21544ms step_avg:46.33ms
step:466/1190 train_time:21601ms step_avg:46.35ms
step:467/1190 train_time:21649ms step_avg:46.36ms
step:468/1190 train_time:21707ms step_avg:46.38ms
step:469/1190 train_time:21754ms step_avg:46.38ms
step:470/1190 train_time:21813ms step_avg:46.41ms
step:471/1190 train_time:21860ms step_avg:46.41ms
step:472/1190 train_time:21917ms step_avg:46.43ms
step:473/1190 train_time:21964ms step_avg:46.44ms
step:474/1190 train_time:22021ms step_avg:46.46ms
step:475/1190 train_time:22069ms step_avg:46.46ms
step:476/1190 train_time:22126ms step_avg:46.48ms
step:477/1190 train_time:22174ms step_avg:46.49ms
step:478/1190 train_time:22232ms step_avg:46.51ms
step:479/1190 train_time:22279ms step_avg:46.51ms
step:480/1190 train_time:22335ms step_avg:46.53ms
step:481/1190 train_time:22383ms step_avg:46.54ms
step:482/1190 train_time:22441ms step_avg:46.56ms
