step:222/1190 train_time:9262ms step_avg:41.72ms
step:223/1190 train_time:9298ms step_avg:41.69ms
step:224/1190 train_time:9345ms step_avg:41.72ms
step:225/1190 train_time:9379ms step_avg:41.69ms
step:226/1190 train_time:9425ms step_avg:41.70ms
step:227/1190 train_time:9461ms step_avg:41.68ms
step:228/1190 train_time:9507ms step_avg:41.70ms
step:229/1190 train_time:9542ms step_avg:41.67ms
step:230/1190 train_time:9588ms step_avg:41.69ms
step:231/1190 train_time:9623ms step_avg:41.66ms
step:232/1190 train_time:9670ms step_avg:41.68ms
step:233/1190 train_time:9705ms step_avg:41.65ms
step:234/1190 train_time:9752ms step_avg:41.68ms
step:235/1190 train_time:9786ms step_avg:41.64ms
step:236/1190 train_time:9833ms step_avg:41.66ms
step:237/1190 train_time:9869ms step_avg:41.64ms
step:238/1190 train_time:9915ms step_avg:41.66ms
step:239/1190 train_time:9950ms step_avg:41.63ms
step:240/1190 train_time:9996ms step_avg:41.65ms
step:241/1190 train_time:10031ms step_avg:41.62ms
step:242/1190 train_time:10077ms step_avg:41.64ms
step:243/1190 train_time:10113ms step_avg:41.62ms
step:244/1190 train_time:10159ms step_avg:41.64ms
step:245/1190 train_time:10194ms step_avg:41.61ms
step:246/1190 train_time:10240ms step_avg:41.63ms
step:247/1190 train_time:10276ms step_avg:41.60ms
step:248/1190 train_time:10322ms step_avg:41.62ms
step:249/1190 train_time:10358ms step_avg:41.60ms
step:250/1190 train_time:10403ms step_avg:41.61ms
step:250/1190 val_loss:4.41915512 train_time:10443ms step_avg:41.77ms
step:251/1190 train_time:10470ms step_avg:41.71ms
step:252/1190 train_time:10502ms step_avg:41.68ms
step:253/1190 train_time:10527ms step_avg:41.61ms
step:254/1190 train_time:10572ms step_avg:41.62ms
step:255/1190 train_time:10607ms step_avg:41.60ms
step:256/1190 train_time:10654ms step_avg:41.62ms
step:257/1190 train_time:10693ms step_avg:41.61ms
step:258/1190 train_time:10740ms step_avg:41.63ms
step:259/1190 train_time:10776ms step_avg:41.60ms
step:260/1190 train_time:10822ms step_avg:41.62ms
step:261/1190 train_time:10857ms step_avg:41.60ms
step:262/1190 train_time:10903ms step_avg:41.61ms
step:263/1190 train_time:10939ms step_avg:41.59ms
step:264/1190 train_time:10985ms step_avg:41.61ms
step:265/1190 train_time:11021ms step_avg:41.59ms
step:266/1190 train_time:11066ms step_avg:41.60ms
step:267/1190 train_time:11103ms step_avg:41.58ms
step:268/1190 train_time:11148ms step_avg:41.60ms
step:269/1190 train_time:11183ms step_avg:41.57ms
step:270/1190 train_time:11229ms step_avg:41.59ms
step:271/1190 train_time:11265ms step_avg:41.57ms
step:272/1190 train_time:11312ms step_avg:41.59ms
step:273/1190 train_time:11347ms step_avg:41.56ms
step:274/1190 train_time:11393ms step_avg:41.58ms
step:275/1190 train_time:11428ms step_avg:41.56ms
step:276/1190 train_time:11474ms step_avg:41.57ms
step:277/1190 train_time:11509ms step_avg:41.55ms
step:278/1190 train_time:11555ms step_avg:41.57ms
step:279/1190 train_time:11591ms step_avg:41.55ms
step:280/1190 train_time:11637ms step_avg:41.56ms
step:281/1190 train_time:11672ms step_avg:41.54ms
step:282/1190 train_time:11718ms step_avg:41.55ms
step:283/1190 train_time:11755ms step_avg:41.54ms
step:284/1190 train_time:11800ms step_avg:41.55ms
step:285/1190 train_time:11851ms step_avg:41.58ms
step:286/1190 train_time:11909ms step_avg:41.64ms
step:287/1190 train_time:11956ms step_avg:41.66ms
step:288/1190 train_time:12013ms step_avg:41.71ms
step:289/1190 train_time:12061ms step_avg:41.73ms
step:290/1190 train_time:12118ms step_avg:41.79ms
step:291/1190 train_time:12165ms step_avg:41.80ms
step:292/1190 train_time:12222ms step_avg:41.86ms
step:293/1190 train_time:12270ms step_avg:41.88ms
step:294/1190 train_time:12327ms step_avg:41.93ms
step:295/1190 train_time:12375ms step_avg:41.95ms
step:296/1190 train_time:12432ms step_avg:42.00ms
step:297/1190 train_time:12480ms step_avg:42.02ms
step:298/1190 train_time:12537ms step_avg:42.07ms
step:299/1190 train_time:12584ms step_avg:42.09ms
step:300/1190 train_time:12644ms step_avg:42.15ms
step:301/1190 train_time:12689ms step_avg:42.16ms
step:302/1190 train_time:12747ms step_avg:42.21ms
step:303/1190 train_time:12794ms step_avg:42.22ms
