step:237/1190 train_time:9963ms step_avg:42.04ms
step:238/1190 train_time:10010ms step_avg:42.06ms
step:239/1190 train_time:10044ms step_avg:42.02ms
step:240/1190 train_time:10092ms step_avg:42.05ms
step:241/1190 train_time:10126ms step_avg:42.02ms
step:242/1190 train_time:10172ms step_avg:42.03ms
step:243/1190 train_time:10207ms step_avg:42.01ms
step:244/1190 train_time:10253ms step_avg:42.02ms
step:245/1190 train_time:10288ms step_avg:41.99ms
step:246/1190 train_time:10335ms step_avg:42.01ms
step:247/1190 train_time:10370ms step_avg:41.98ms
step:248/1190 train_time:10416ms step_avg:42.00ms
step:249/1190 train_time:10451ms step_avg:41.97ms
step:250/1190 train_time:10497ms step_avg:41.99ms
step:250/1190 val_loss:4.37719345 train_time:10537ms step_avg:42.15ms
step:251/1190 train_time:10565ms step_avg:42.09ms
step:252/1190 train_time:10597ms step_avg:42.05ms
step:253/1190 train_time:10622ms step_avg:41.98ms
step:254/1190 train_time:10664ms step_avg:41.98ms
step:255/1190 train_time:10701ms step_avg:41.97ms
step:256/1190 train_time:10747ms step_avg:41.98ms
step:257/1190 train_time:10785ms step_avg:41.96ms
step:258/1190 train_time:10832ms step_avg:41.98ms
step:259/1190 train_time:10867ms step_avg:41.96ms
step:260/1190 train_time:10914ms step_avg:41.98ms
step:261/1190 train_time:10949ms step_avg:41.95ms
step:262/1190 train_time:10996ms step_avg:41.97ms
step:263/1190 train_time:11031ms step_avg:41.94ms
step:264/1190 train_time:11077ms step_avg:41.96ms
step:265/1190 train_time:11113ms step_avg:41.94ms
step:266/1190 train_time:11158ms step_avg:41.95ms
step:267/1190 train_time:11194ms step_avg:41.92ms
step:268/1190 train_time:11241ms step_avg:41.94ms
step:269/1190 train_time:11276ms step_avg:41.92ms
step:270/1190 train_time:11322ms step_avg:41.93ms
step:271/1190 train_time:11357ms step_avg:41.91ms
step:272/1190 train_time:11404ms step_avg:41.93ms
step:273/1190 train_time:11438ms step_avg:41.90ms
step:274/1190 train_time:11485ms step_avg:41.91ms
step:275/1190 train_time:11519ms step_avg:41.89ms
step:276/1190 train_time:11565ms step_avg:41.90ms
step:277/1190 train_time:11602ms step_avg:41.88ms
step:278/1190 train_time:11647ms step_avg:41.89ms
step:279/1190 train_time:11682ms step_avg:41.87ms
step:280/1190 train_time:11728ms step_avg:41.89ms
step:281/1190 train_time:11763ms step_avg:41.86ms
step:282/1190 train_time:11810ms step_avg:41.88ms
step:283/1190 train_time:11845ms step_avg:41.85ms
step:284/1190 train_time:11892ms step_avg:41.87ms
step:285/1190 train_time:11942ms step_avg:41.90ms
step:286/1190 train_time:12000ms step_avg:41.96ms
step:287/1190 train_time:12047ms step_avg:41.98ms
step:288/1190 train_time:12106ms step_avg:42.03ms
step:289/1190 train_time:12152ms step_avg:42.05ms
step:290/1190 train_time:12210ms step_avg:42.10ms
